expocode: 316420190718
vessel name: Dabob_122W_48N
PIs: Sutton_A.; Newton_J.; Manalang_D.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
DABOB_122W_48N,47.804,-122.803,07/18/2019,18:17,323.1,2,4.19,403.5,2,3.86,1017.6,18.5,101.74,-999,-999,324.5,405.1,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/18/2019,21:17,355.8,2,4.46,407.4,2,4.04,1017.8,19.3,102.66,-999,-999,357.4,409.0,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/18/2019,22:17,341.8,2,3.79,406.5,2,3.37,1017.7,19.7,103.73,-999,-999,343.1,407.8,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/18/2019,22:47,333.2,2,2.98,407.7,2,2.49,1017.5,20.2,104.61,-999,-999,334.2,408.7,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/18/2019,23:17,327.6,2,2.88,405.9,2,2.38,1017.3,20.4,105.42,-999,-999,328.6,406.9,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/18/2019,23:47,321.6,2,2.90,405.5,2,2.36,1017.2,20.6,106.15,-999,-999,322.5,406.5,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/19/2019,00:17,312.9,2,2.88,403.2,2,2.43,1017.1,20.7,106.69,-999,-999,313.8,404.2,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/19/2019,00:47,310.1,2,2.70,402.6,2,2.39,1017.1,20.7,107.25,-999,-999,310.9,403.5,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/19/2019,01:17,311.4,2,2.65,405.7,2,2.37,1016.9,20.7,107.59,-999,-999,312.2,406.6,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/19/2019,01:47,310.9,2,2.59,406.5,2,2.34,1017.1,20.7,107.77,-999,-999,311.7,407.5,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/19/2019,03:17,299.8,2,3.61,409.3,2,3.40,1016.8,19.4,107.69,-999,-999,300.9,410.7,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/19/2019,06:17,337.7,2,3.72,418.8,2,3.54,1017.3,18.1,107.19,-999,-999,338.9,420.3,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/19/2019,09:17,332.2,2,3.63,414.5,2,3.46,1017.7,17.4,106.84,-999,-999,333.4,415.9,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/19/2019,12:17,320.4,2,3.52,414.0,2,3.35,1018.8,16.8,106.75,-999,-999,321.6,415.4,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/19/2019,15:17,345.7,2,3.66,413.0,2,3.58,1020.1,16.5,106.20,-999,-999,347.0,414.5,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/19/2019,18:17,326.2,2,3.94,408.6,2,3.73,1020.9,16.9,106.26,-999,-999,327.5,410.2,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/19/2019,21:17,350.0,2,4.78,405.0,2,4.34,1020.9,18.8,106.27,-999,-999,351.6,406.8,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/20/2019,00:17,355.9,2,5.10,401.7,2,4.35,1020.1,21.0,105.96,-999,-999,357.8,403.4,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/20/2019,03:17,316.0,2,4.91,403.6,2,4.21,1018.8,21.7,106.49,-999,-999,317.6,405.3,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/20/2019,06:17,314.1,2,3.94,421.2,2,3.62,1019.7,20.1,106.71,-999,-999,315.3,422.7,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/20/2019,09:17,314.7,2,3.39,433.0,2,3.21,1019.6,18.3,106.89,-999,-999,315.7,434.4,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/20/2019,12:17,311.7,2,3.22,445.3,2,3.05,1019.8,16.6,107.01,-999,-999,312.7,446.7,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/20/2019,15:17,319.8,2,3.77,433.3,2,3.61,1020.1,15.6,107.12,-999,-999,321.0,434.8,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/20/2019,18:17,350.8,2,3.84,417.9,2,3.70,1019.6,16.4,106.90,-999,-999,352.1,419.4,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/20/2019,21:17,338.3,2,4.73,401.0,2,4.12,1018.3,19.1,106.98,-999,-999,339.9,402.7,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/21/2019,00:17,363.5,2,5.35,400.5,2,4.58,1016.6,21.5,106.85,-999,-999,365.5,402.3,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/21/2019,03:17,345.1,2,5.34,404.5,2,4.58,1015.2,22.4,107.16,-999,-999,346.9,406.4,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/21/2019,06:17,338.7,2,4.33,434.3,2,3.89,1015.4,21.2,107.03,-999,-999,340.2,436.0,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/21/2019,09:17,336.6,2,3.88,450.7,2,3.58,1015.3,19.4,106.98,-999,-999,337.9,452.3,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/21/2019,12:17,329.4,2,3.67,449.5,2,3.40,1015.1,18.0,106.89,-999,-999,330.6,451.0,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/21/2019,15:17,327.1,2,3.90,448.6,2,3.76,1015.6,17.2,107.11,-999,-999,328.4,450.3,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/21/2019,18:17,339.0,2,4.28,429.2,2,4.01,1015.5,17.9,107.06,-999,-999,340.5,430.9,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/21/2019,21:17,356.4,2,5.37,417.1,2,4.97,1014.2,20.5,107.28,-999,-999,358.4,419.2,-999,-999,-999,-999,-999,-999,-999,5
DABOB_122W_48N,47.804,-122.803,07/22/2019,00:17,359.3,2,6.32,406.0,2,5.63,1012.8,24.0,107.44,-999,-999,361.6,408.3,-999,-999,-999,-999,-999,-999,-999,5
