expocode: 316420190923
vessel name: Twanoh_123W_47N
PIs: Sutton_A.; Newton_J.; Manalang_D.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
TWANOH_123W_47N,47.375,-123.008,09/23/2019,00:17,434.8,2,3.16,398.7,2,2.96,1009.6,17.6,102,-999,-999,436.1,399.9,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/23/2019,03:17,489,2,2.71,409.2,2,2.51,1011.7,17.9,101.76,-999,-999,490.4,410.3,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/23/2019,06:17,394.2,2,2.73,417.7,2,2.55,1014.7,17.2,101.94,-999,-999,395.3,418.8,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/23/2019,09:17,428.7,2,2.64,422.1,2,2.47,1016.4,16.8,101.98,-999,-999,429.8,423.1,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/23/2019,12:17,447,2,2.17,423.2,2,2,1017.8,16.2,101.66,-999,-999,448,424.1,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/23/2019,15:17,447.6,2,2.41,411.9,2,2.26,1019.3,15.5,101.43,-999,-999,448.7,412.9,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/23/2019,18:17,462.7,2,2.79,405.1,2,2.45,1021.3,16,101.29,-999,-999,464,406.1,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/23/2019,21:17,434.2,2,2.58,404.5,2,2.4,1022.3,16.1,101.51,-999,-999,435.3,405.5,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/24/2019,00:17,442,2,2.58,403.5,2,2.41,1020.9,16.1,101.56,-999,-999,443.1,404.5,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/24/2019,03:17,502.1,2,2.56,408.1,2,2.39,1020.3,16.1,101.29,-999,-999,503.3,409.1,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/24/2019,06:17,-999,4,2.48,414,2,2.32,1020,15.8,99.59,-999,-999,-999,415,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/24/2019,09:17,467.1,2,2.47,415.9,2,2.3,1019.9,15.6,100,-999,-999,468.2,416.9,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/24/2019,12:17,507.9,2,2.53,427.1,2,2.38,1020.8,15.8,99.91,-999,-999,509.2,428.1,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/24/2019,15:17,521.2,2,2.45,426.5,2,2.28,1022.3,15.5,99.77,-999,-999,522.5,427.5,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/24/2019,18:17,508.1,2,2.76,418.3,2,2.61,1023.9,15.7,99.72,-999,-999,509.5,419.4,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/24/2019,21:17,434.2,2,3.27,406.4,2,3.07,1023.2,17.7,100.23,-999,-999,435.6,407.6,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/25/2019,00:17,428.8,2,3.52,408.1,2,3.25,1022.4,20.6,100.69,-999,-999,430.3,409.5,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/25/2019,03:17,403.2,2,2.51,415.4,2,2.27,1022.4,20.6,100.81,-999,-999,404.2,416.3,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/25/2019,06:17,396.2,2,2.47,426,2,2.28,1023.2,18.4,101.01,-999,-999,397.2,427,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/25/2019,09:17,381.7,2,2.43,450.1,2,2.26,1024.2,17,101.21,-999,-999,382.6,451.2,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/25/2019,12:17,382.8,2,2.46,448.5,2,2.29,1024.9,16.1,101.16,-999,-999,383.7,449.6,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/25/2019,15:17,408.4,2,2.62,461.7,2,2.46,1025.4,15.8,100.97,-999,-999,409.5,462.8,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/25/2019,18:17,431.3,2,2.72,433.3,2,2.55,1024.9,15.9,100.68,-999,-999,432.5,434.4,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/25/2019,21:17,378.5,2,3.16,409.2,2,2.96,1022.5,17.3,101.12,-999,-999,379.7,410.4,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/26/2019,00:17,368.5,2,3.47,417.6,2,2.99,1020.6,20.1,101.74,-999,-999,369.8,418.8,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/26/2019,03:17,371.2,2,2.89,402.6,2,2.66,1018.6,20.1,101.78,-999,-999,372.2,403.7,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/26/2019,06:17,468,2,2.52,411.5,2,2.33,1015.1,18.5,101.55,-999,-999,469.2,412.4,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/26/2019,09:17,2069.7,3,2.38,411.3,2,2.21,1013.2,16.6,94.1,-999,-999,2074.7,412.2,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/26/2019,12:17,1512.3,3,2.51,415.4,2,2.34,1011.1,15.8,92.59,-999,-999,1516.1,416.4,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/26/2019,15:17,1261.7,3,2.62,412.8,2,2.45,1010.5,16.1,92.89,-999,-999,1265,413.8,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/26/2019,18:17,1084.8,3,2.69,413.9,2,2.51,1012.7,16.5,93.74,-999,-999,1087.7,414.9,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/26/2019,21:17,548.9,2,3.21,403.4,2,3.03,1013.1,17.4,95.17,-999,-999,550.7,404.7,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/27/2019,00:17,443.5,2,2.69,406.9,2,2.49,1013.3,17.6,97.17,-999,-999,444.7,407.9,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/27/2019,03:17,454.3,2,2.6,406.3,2,2.42,1014,17.3,97.71,-999,-999,455.4,407.2,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/27/2019,06:17,489.7,2,2.44,414.3,2,2.28,1013.7,16.6,97.95,-999,-999,490.9,415.2,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/27/2019,09:17,440.9,2,2.32,415.4,2,2.15,1013.4,15.9,98.49,-999,-999,442,416.3,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/27/2019,12:17,469.4,2,2.17,423.1,2,2.02,1013.3,15,98.78,-999,-999,470.4,423.9,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/27/2019,15:17,503.6,2,2.1,426.3,2,1.95,1013.5,14.4,98.82,-999,-999,504.7,427.1,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/27/2019,18:17,510.2,2,2.47,404.8,2,2.32,1011.8,14.4,98.92,-999,-999,511.5,405.8,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/27/2019,21:17,848.9,2,2.64,401.9,2,2.16,1009.8,14.7,97.43,-999,-999,851.2,402.8,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/28/2019,00:17,888.6,2,2.46,401.5,2,2.08,1008.5,16.2,95.37,-999,-999,890.8,402.3,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,09/28/2019,03:17,917,2,1.82,408.7,2,1.65,1009,15.9,94.95,-999,-999,918.7,409.4,-999,-999,-999,-999,-999,-999
