#YY  MM DD hh mm   DEPTH  OTMP   COND   SAL   O2% O2PPM  CLCON  TURB    PH    EH
#yr  mo dy hr mn       m  degC  mS/cm   psu     %   ppm   ug/l   FTU     -    mv
2020 01 01 20 25     3.0 10.80 999.00 30.60  47.7  4.30  62.20    99 99.00 99.00
2020 01 02 20 26     3.0 10.70 999.00 30.30  46.9  4.30  62.20    99 99.00 99.00
2020 01 03 20 26     3.0 10.20 999.00 28.30  62.2  5.80  62.20    99 99.00 99.00
2020 01 04 20 25     3.0 10.40 999.00 30.10  56.7  5.20  62.20    99 99.00 99.00
2020 01 05 20 24     3.0  9.90 999.00 27.40  61.3  5.80  62.20    99 99.00 99.00
2020 01 06 20 26     3.0 10.00 999.00 27.90  64.7  6.10  62.20    99 99.00 99.00
2020 01 07 20 26     3.0 10.20 999.00 27.30  62.7  5.90  62.20    99 99.00 99.00
2020 01 08 20 26     3.0 10.20 999.00 29.00  57.4  5.40  62.20    99 99.00 99.00
2020 01 28 20 10     2.0  7.90 999.00 15.20  88.6  9.50   2.10    99 99.00 99.00
2020 01 29 20 26     3.0  8.20 999.00 25.70  84.5  8.40   0.80    99 99.00 99.00
2020 01 30 20 25     3.0  8.20 999.00 20.30  83.6  8.60   1.50    99 99.00 99.00
2020 01 31 20 25     3.0  8.50 999.00 24.20  80.8  8.10   0.80    99 99.00 99.00
2020 02 01 20 25     3.0  9.30 999.00 27.30  70.6  6.80 999.00    99 99.00 99.00
2020 02 02 20 23     3.0  9.10 999.00 25.60  73.6  7.20   0.50    99 99.00 99.00
2020 02 03 20 25     3.0  8.60 999.00 25.60  83.7  8.30   1.30    99 99.00 99.00
2020 02 04 20 26     3.0  8.70 999.00 24.60  81.0  8.10   1.10    99 99.00 99.00
2020 02 05 20 25     3.0  8.90 999.00 27.10  80.6  7.80   1.30    99 99.00 99.00
2020 02 08 20 25     3.0  8.60 999.00 27.10  78.9  7.70   0.90    99 99.00 99.00
2020 02 09 20 24     3.0  8.60 999.00 21.60  85.6  8.70   1.00    99 99.00 99.00
2020 02 10 20 25     3.0  8.90 999.00 23.40  84.0  8.40   1.60    99 99.00 99.00
2020 02 11 20 25     3.0  8.80 999.00 24.10  84.9  8.40   1.80    99 99.00 99.00
2020 02 12 20 25     3.0  8.70 999.00 22.00  87.0  8.80   1.70    99 99.00 99.00
2020 02 13 20 23     3.0  8.40 999.00 22.10  88.2  9.00   1.20    99 99.00 99.00
2020 02 14 20 24     3.0  8.40 999.00 26.60  82.9  8.20   0.60    99 99.00 99.00
2020 02 15 20 25     3.0  8.30 999.00 24.70  85.4  8.60   1.20    99 99.00 99.00
2020 02 16 20 23     3.0  8.30 999.00 23.70  87.1  8.80   0.60    99 99.00 99.00
2020 02 17 20 23     3.0  8.30 999.00 24.60  87.0  8.70   0.80    99 99.00 99.00
2020 02 18 20 23     3.0  8.60 999.00 24.80  90.9  9.00   1.80    99 99.00 99.00
2020 02 19 20 23     3.0  7.80 999.00 24.50  92.2  9.30   0.80    99 99.00 99.00
2020 02 20 20 23     3.0  7.90 999.00 23.90  94.1  9.60   0.80    99 99.00 99.00
2020 02 23 20 23     3.0  8.40 999.00 23.90 102.0 10.30   5.20    99 99.00 99.00
2020 02 24 20 24     3.0  8.90 999.00 28.30  76.3  7.40   0.70    99 99.00 99.00
2020 02 25 19 43     3.0  8.50 999.00 26.30  98.8  9.80   6.50    99 99.00 99.00
2020 02 26 20 24     3.0  8.90 999.00 25.80 125.1 12.30  15.80    99 99.00 99.00
2020 02 27 20 23     3.0  9.00 999.00 26.30 140.6 13.70  21.00    99 99.00 99.00
2020 02 28 20 23     3.0  8.90 999.00 24.90 999.0 99.00  20.80    99 99.00 99.00
2020 02 29 20 24     3.0  8.60 999.00 27.90  85.1  8.30   2.30    99 99.00 99.00
2020 03 01 20 24     3.0  8.40 999.00 26.40 124.2 12.30  11.40    99 99.00 99.00
2020 03 02 20 24     3.0  8.50 999.00 26.90 110.4 10.80  11.10    99 99.00 99.00
2020 03 03 20 24     3.0  9.00 999.00 28.60  78.3  7.50   1.00    99 99.00 99.00
2020 03 04 20 23     3.0  9.00 999.00 28.80  74.1  7.10   0.70    99 99.00 99.00
2020 03 05 20 24     3.0  9.00 999.00 27.20 102.0  9.90   4.20    99 99.00 99.00
2020 03 06 20 24     3.0  9.00 999.00 28.20 100.1  9.60   6.80    99 99.00 99.00
2020 03 07 20 23     3.0  8.90 999.00 26.70 118.0 11.50   4.10    99 99.00 99.00
2020 03 08 18 24     3.0  9.00 999.00 27.10 131.0 12.70   8.90    99 99.00 99.00
2020 03 09 19 24     3.0  8.90 999.00 27.00 142.7 13.90  12.70    99 99.00 99.00
2020 03 10 07 25     3.0  8.80 999.00 26.60 148.2 14.50   7.30    99 99.00 99.00
2020 03 10 19 25     3.0  8.50 999.00 25.00 135.0 13.40   5.70    99 99.00 99.00
2020 03 11 07 25     3.0  9.00 999.00 27.90 114.8 11.10   9.40    99 99.00 99.00
2020 03 11 19 25     3.0  8.90 999.00 28.40  92.8  8.90   5.40    99 99.00 99.00
2020 03 12 07 25     3.0  9.40 999.00 26.70 125.2 12.10   7.10    99 99.00 99.00
2020 03 12 19 24     3.0  9.30 999.00 27.00 125.1 12.10   8.60    99 99.00 99.00
2020 03 13 07 23     3.0  9.30 999.00 26.80 134.5 13.00   9.30    99 99.00 99.00
2020 03 13 19 25     3.0  9.20 999.00 27.30 142.3 13.70  10.70    99 99.00 99.00
2020 03 14 07 25     3.0  9.10 999.00 27.20 143.8 13.90  10.50    99 99.00 99.00
2020 03 14 19 26     3.0  8.60 999.00 27.60 122.7 12.00  12.40    99 99.00 99.00
2020 03 15 07 26     3.0  8.20 999.00 26.30 121.5 12.10   8.50    99 99.00 99.00
2020 03 15 19 23     3.0  7.90 999.00 26.60 117.4 11.70   4.80    99 99.00 99.00
2020 03 16 07 25     3.0  8.20 999.00 26.60 123.0 12.20 999.00    99 99.00 99.00
2020 03 16 19 23     3.0  8.50 999.00 26.30 128.4 12.70   3.20    99 99.00 99.00
2020 03 17 07 25     3.0  8.80 999.00 26.70 131.8 12.90   9.10    99 99.00 99.00
2020 03 17 19 24     3.0  8.80 999.00 26.50 131.0 12.80 999.00    99 99.00 99.00
2020 03 18 07 25     3.0  8.90 999.00 26.40 133.8 13.10 999.00    99 99.00 99.00
2020 03 18 19 23     3.0  8.90 999.00 27.10 130.0 12.60   0.90    99 99.00 99.00
2020 03 19 07 25     3.0  9.00 999.00 27.00 132.6 12.90 999.00    99 99.00 99.00
2020 03 19 19 23     3.0  9.00 999.00 27.40 119.7 11.60   0.60    99 99.00 99.00
2020 03 20 07 25     3.0  9.60 999.00 26.60 127.0 12.20   1.00    99 99.00 99.00
2020 03 20 19 24     3.0  9.60 999.00 27.00 122.5 11.80 999.00    99 99.00 99.00
