Date and Time, Depth (Ft), Oxygen Conc. (mg/L)
2023-09-01T12:16:48-0700, -33 ft, 8.3012
2023-09-01T12:16:48-0700, -36 ft, 8.1357
2023-09-01T12:16:48-0700, -39 ft, 7.657
2023-09-01T12:16:48-0700, -43 ft, 7.1947
2023-09-01T12:16:48-0700, -46 ft, 6.8972
2023-09-01T12:16:48-0700, -49 ft, 6.7306
2023-09-01T12:16:48-0700, -52 ft, 6.4364
2023-09-01T12:16:48-0700, -56 ft, 6.26
2023-09-01T12:16:48-0700, -59 ft, 6.1427
2023-09-01T12:16:48-0700, -62 ft, 6.0397
2023-09-01T12:16:48-0700, -3 ft, 10.4673
2023-09-01T12:16:48-0700, -66 ft, 5.9673
2023-09-01T12:16:48-0700, -69 ft, 5.9367
2023-09-01T12:16:48-0700, -72 ft, 5.8984
2023-09-01T12:16:48-0700, -75 ft, 5.8087
2023-09-01T12:16:48-0700, -79 ft, 5.6339
2023-09-01T12:16:48-0700, -82 ft, 5.4581
2023-09-01T12:16:48-0700, -85 ft, 5.3245
2023-09-01T12:16:48-0700, -89 ft, 5.2166
2023-09-01T12:16:48-0700, -92 ft, 5.1216
2023-09-01T12:16:48-0700, -7 ft, 10.4026
2023-09-01T12:16:48-0700, -10 ft, 10.3379
2023-09-01T12:16:48-0700, -13 ft, 10.4786
2023-09-01T12:16:48-0700, -16 ft, 10.1434
2023-09-01T12:16:48-0700, -20 ft, 9.4691
2023-09-01T12:16:48-0700, -23 ft, 8.8724
2023-09-01T12:16:48-0700, -26 ft, 8.8389
2023-09-01T12:16:48-0700, -30 ft, 8.6818
2023-09-02T12:16:54-0700, -33 ft, 8.6323
2023-09-02T12:16:54-0700, -36 ft, 8.3675
2023-09-02T12:16:54-0700, -39 ft, 8.3675
2023-09-02T12:16:54-0700, -43 ft, 7.9749
2023-09-02T12:16:54-0700, -46 ft, 7.4862
2023-09-02T12:16:54-0700, -49 ft, 7.0878
2023-09-02T12:16:54-0700, -52 ft, 6.5873
2023-09-02T12:16:54-0700, -56 ft, 6.28
2023-09-02T12:16:54-0700, -59 ft, 6.1287
2023-09-02T12:16:54-0700, -62 ft, 6.0068
2023-09-02T12:16:54-0700, -3 ft, 10.0883
2023-09-02T12:16:54-0700, -66 ft, 5.8928
2023-09-02T12:16:54-0700, -69 ft, 5.7572
2023-09-02T12:16:54-0700, -72 ft, 5.6889
2023-09-02T12:16:54-0700, -75 ft, 5.5748
2023-09-02T12:16:54-0700, -79 ft, 5.4244
2023-09-02T12:16:54-0700, -82 ft, 5.3091
2023-09-02T12:16:54-0700, -85 ft, 5.2013
2023-09-02T12:16:54-0700, -89 ft, 5.1298
2023-09-02T12:16:54-0700, -92 ft, 5.0397
2023-09-02T12:16:54-0700, -7 ft, 10.1672
2023-09-02T12:16:54-0700, -10 ft, 10.2461
2023-09-02T12:16:54-0700, -13 ft, 10.3778
2023-09-02T12:16:54-0700, -16 ft, 10.5321
2023-09-02T12:16:54-0700, -20 ft, 10.5012
2023-09-02T12:16:54-0700, -23 ft, 10.1746
2023-09-02T12:16:54-0700, -26 ft, 9.8304
2023-09-02T12:16:54-0700, -30 ft, 9.3038
2023-09-03T12:17:17-0700, -33 ft, 9.4711
2023-09-03T12:17:17-0700, -36 ft, 9.1262
2023-09-03T12:17:17-0700, -39 ft, 8.8273
2023-09-03T12:17:17-0700, -43 ft, 8.1687
2023-09-03T12:17:17-0700, -46 ft, 7.2414
2023-09-03T12:17:17-0700, -49 ft, 6.7339
2023-09-03T12:17:17-0700, -52 ft, 6.433
2023-09-03T12:17:17-0700, -56 ft, 6.1928
2023-09-03T12:17:17-0700, -59 ft, 5.9441
2023-09-03T12:17:17-0700, -62 ft, 5.7829
2023-09-03T12:17:17-0700, -3 ft, 9.9747
2023-09-03T12:17:17-0700, -66 ft, 5.6933
2023-09-03T12:17:17-0700, -69 ft, 5.6109
2023-09-03T12:17:17-0700, -72 ft, 5.5876
2023-09-03T12:17:17-0700, -75 ft, 5.535
2023-09-03T12:17:17-0700, -79 ft, 5.4417
2023-09-03T12:17:17-0700, -82 ft, 5.3615
2023-09-03T12:17:17-0700, -85 ft, 5.2772
2023-09-03T12:17:17-0700, -89 ft, 5.1806
2023-09-03T12:17:17-0700, -92 ft, 5.1062
2023-09-03T12:17:17-0700, -7 ft, 10.0092
2023-09-03T12:17:17-0700, -10 ft, 10.0437
2023-09-03T12:17:17-0700, -13 ft, 10.1012
2023-09-03T12:17:17-0700, -16 ft, 10.3505
2023-09-03T12:17:17-0700, -20 ft, 10.4769
2023-09-03T12:17:17-0700, -23 ft, 10.4168
2023-09-03T12:17:17-0700, -26 ft, 10.3353
2023-09-03T12:17:17-0700, -30 ft, 10.0126
2023-09-04T12:17:20-0700, -33 ft, 9.0696
2023-09-04T12:17:20-0700, -36 ft, 8.4701
2023-09-04T12:17:20-0700, -39 ft, 7.8803
2023-09-04T12:17:20-0700, -43 ft, 7.1199
2023-09-04T12:17:20-0700, -46 ft, 6.7678
2023-09-04T12:17:20-0700, -49 ft, 6.5607
2023-09-04T12:17:20-0700, -52 ft, 6.4404
2023-09-04T12:17:20-0700, -56 ft, 6.3339
2023-09-04T12:17:20-0700, -59 ft, 6.2078
2023-09-04T12:17:20-0700, -62 ft, 6.0876
2023-09-04T12:17:20-0700, -3 ft, 8.5801
2023-09-04T12:17:20-0700, -66 ft, 6.0033
2023-09-04T12:17:20-0700, -69 ft, 5.9041
2023-09-04T12:17:20-0700, -72 ft, 5.7428
2023-09-04T12:17:20-0700, -75 ft, 5.4671
2023-09-04T12:17:20-0700, -79 ft, 5.1908
2023-09-04T12:17:20-0700, -82 ft, 4.9926
2023-09-04T12:17:20-0700, -85 ft, 4.8532
2023-09-04T12:17:20-0700, -89 ft, 4.7858
2023-09-04T12:17:20-0700, -92 ft, 4.7118
2023-09-04T12:17:20-0700, -7 ft, 8.4751
2023-09-04T12:17:20-0700, -10 ft, 8.3712
2023-09-04T12:17:20-0700, -13 ft, 8.5035
2023-09-04T12:17:20-0700, -16 ft, 8.8843
2023-09-04T12:17:20-0700, -20 ft, 9.7205
2023-09-04T12:17:20-0700, -23 ft, 10.2866
2023-09-04T12:17:20-0700, -26 ft, 10.4087
2023-09-04T12:17:20-0700, -30 ft, 9.8711
2023-09-05T12:16:54-0700, -33 ft, 7.4656
2023-09-05T12:16:54-0700, -36 ft, 7.671
2023-09-05T12:16:54-0700, -39 ft, 7.4308
2023-09-05T12:16:54-0700, -43 ft, 7.0022
2023-09-05T12:16:54-0700, -46 ft, 6.8026
2023-09-05T12:16:54-0700, -49 ft, 6.6223
2023-09-05T12:16:54-0700, -52 ft, 6.4424
2023-09-05T12:16:54-0700, -56 ft, 6.2927
2023-09-05T12:16:54-0700, -59 ft, 6.152
2023-09-05T12:16:54-0700, -62 ft, 6.0132
2023-09-05T12:16:54-0700, -3 ft, 10.0431
2023-09-05T12:16:54-0700, -66 ft, 5.7968
2023-09-05T12:16:54-0700, -69 ft, 5.5916
2023-09-05T12:16:54-0700, -72 ft, 5.3952
2023-09-05T12:16:54-0700, -75 ft, 5.2418
2023-09-05T12:16:54-0700, -79 ft, 5.1433
2023-09-05T12:16:54-0700, -82 ft, 5.058
2023-09-05T12:16:54-0700, -85 ft, 4.9079
2023-09-05T12:16:54-0700, -89 ft, 4.8041
2023-09-05T12:16:54-0700, -92 ft, 4.7438
2023-09-05T12:16:54-0700, -7 ft, 10.1341
2023-09-05T12:16:54-0700, -10 ft, 10.2252
2023-09-05T12:16:54-0700, -13 ft, 10.3125
2023-09-05T12:16:54-0700, -16 ft, 10.2415
2023-09-05T12:16:54-0700, -20 ft, 10.0655
2023-09-05T12:16:54-0700, -23 ft, 9.5943
2023-09-05T12:16:54-0700, -26 ft, 8.8287
2023-09-05T12:16:54-0700, -30 ft, 7.7849
2023-09-06T12:16:56-0700, -33 ft, 9.4358
2023-09-06T12:16:56-0700, -36 ft, 8.979
2023-09-06T12:16:56-0700, -39 ft, 8.7061
2023-09-06T12:16:56-0700, -43 ft, 8.4344
2023-09-06T12:16:56-0700, -46 ft, 7.6934
2023-09-06T12:16:56-0700, -49 ft, 7.0365
2023-09-06T12:16:56-0700, -52 ft, 6.6702
2023-09-06T12:16:56-0700, -56 ft, 6.4321
2023-09-06T12:16:56-0700, -59 ft, 6.377
2023-09-06T12:16:56-0700, -62 ft, 6.3525
2023-09-06T12:16:56-0700, -3 ft, 8.2132
2023-09-06T12:16:56-0700, -66 ft, 6.2493
2023-09-06T12:16:56-0700, -69 ft, 6.0581
2023-09-06T12:16:56-0700, -72 ft, 5.8279
2023-09-06T12:16:56-0700, -75 ft, 5.6149
2023-09-06T12:16:56-0700, -79 ft, 5.5344
2023-09-06T12:16:56-0700, -82 ft, 5.5164
2023-09-06T12:16:56-0700, -85 ft, 5.4686
2023-09-06T12:16:56-0700, -89 ft, 5.3919
2023-09-06T12:16:56-0700, -92 ft, 5.2607
2023-09-06T12:16:56-0700, -7 ft, 8.2265
2023-09-06T12:16:56-0700, -10 ft, 8.2379
2023-09-06T12:16:56-0700, -13 ft, 8.2158
2023-09-06T12:16:56-0700, -16 ft, 8.3601
2023-09-06T12:16:56-0700, -20 ft, 9.0279
2023-09-06T12:16:56-0700, -23 ft, 10.0152
2023-09-06T12:16:56-0700, -26 ft, 10.2036
2023-09-06T12:16:56-0700, -30 ft, 9.8518
2023-09-07T12:16:57-0700, -33 ft, 7.8346
2023-09-07T12:16:57-0700, -36 ft, 7.3083
2023-09-07T12:16:57-0700, -39 ft, 6.999
2023-09-07T12:16:57-0700, -43 ft, 6.8846
2023-09-07T12:16:57-0700, -46 ft, 6.8089
2023-09-07T12:16:57-0700, -49 ft, 6.7157
2023-09-07T12:16:57-0700, -52 ft, 6.5164
