Date and Time, Depth (Ft), Oxygen Conc. (mg/L)
2023-09-01T12:19:14-0700, -33 ft, 6.907
2023-09-01T12:19:14-0700, -36 ft, 6.8957
2023-09-01T12:19:14-0700, -39 ft, 6.8926
2023-09-01T12:19:14-0700, -43 ft, 6.8846
2023-09-01T12:19:14-0700, -46 ft, 6.868
2023-09-01T12:19:14-0700, -49 ft, 6.8509
2023-09-01T12:19:14-0700, -52 ft, 6.8139
2023-09-01T12:19:14-0700, -56 ft, 6.7598
2023-09-01T12:19:14-0700, -59 ft, 6.7085
2023-09-01T12:19:14-0700, -62 ft, 6.6701
2023-09-01T12:19:14-0700, -3 ft, 6.9845
2023-09-01T12:19:14-0700, -7 ft, 6.9866
2023-09-01T12:19:14-0700, -10 ft, 6.9888
2023-09-01T12:19:14-0700, -13 ft, 6.991
2023-09-01T12:19:14-0700, -16 ft, 6.9933
2023-09-01T12:19:14-0700, -20 ft, 6.992
2023-09-01T12:19:14-0700, -23 ft, 6.9683
2023-09-01T12:19:14-0700, -26 ft, 6.938
2023-09-01T12:19:14-0700, -30 ft, 6.9212
2023-09-02T12:19:25-0700, -33 ft, 6.7562
2023-09-02T12:19:25-0700, -36 ft, 6.7502
2023-09-02T12:19:25-0700, -39 ft, 6.7411
2023-09-02T12:19:25-0700, -43 ft, 6.732
2023-09-02T12:19:25-0700, -46 ft, 6.7271
2023-09-02T12:19:25-0700, -49 ft, 6.7246
2023-09-02T12:19:25-0700, -52 ft, 6.7207
2023-09-02T12:19:25-0700, -56 ft, 6.7156
2023-09-02T12:19:25-0700, -59 ft, 6.7079
2023-09-02T12:19:25-0700, -62 ft, 6.6906
2023-09-02T12:19:25-0700, -3 ft, 6.8243
2023-09-02T12:19:25-0700, -7 ft, 6.8292
2023-09-02T12:19:25-0700, -10 ft, 6.8342
2023-09-02T12:19:25-0700, -13 ft, 6.8392
2023-09-02T12:19:25-0700, -16 ft, 6.8336
2023-09-02T12:19:25-0700, -20 ft, 6.8167
2023-09-02T12:19:25-0700, -23 ft, 6.7945
2023-09-02T12:19:25-0700, -26 ft, 6.7752
2023-09-02T12:19:25-0700, -30 ft, 6.7627
2023-09-03T12:20:16-0700, -33 ft, 6.8985
2023-09-03T12:20:16-0700, -36 ft, 6.8983
2023-09-03T12:20:16-0700, -39 ft, 6.8953
2023-09-03T12:20:16-0700, -43 ft, 6.8861
2023-09-03T12:20:16-0700, -46 ft, 6.8621
2023-09-03T12:20:16-0700, -49 ft, 6.837
2023-09-03T12:20:16-0700, -52 ft, 6.8086
2023-09-03T12:20:16-0700, -56 ft, 6.7364
2023-09-03T12:20:16-0700, -59 ft, 6.6742
2023-09-03T12:20:16-0700, -62 ft, 6.6531
2023-09-03T12:20:16-0700, -3 ft, 6.9332
2023-09-03T12:20:16-0700, -66 ft, 6.6507
2023-09-03T12:20:16-0700, -69 ft, 6.6448
2023-09-03T12:20:16-0700, -72 ft, 6.6406
2023-09-03T12:20:16-0700, -75 ft, 6.6447
2023-09-03T12:20:16-0700, -79 ft, 6.6677
2023-09-03T12:20:16-0700, -82 ft, 6.6979
2023-09-03T12:20:16-0700, -85 ft, 6.725
2023-09-03T12:20:16-0700, -89 ft, 6.7295
2023-09-03T12:20:16-0700, -92 ft, 6.7181
2023-09-03T12:20:16-0700, -7 ft, 6.9278
2023-09-03T12:20:16-0700, -10 ft, 6.9223
2023-09-03T12:20:16-0700, -13 ft, 6.9169
2023-09-03T12:20:16-0700, -16 ft, 6.9156
2023-09-03T12:20:16-0700, -20 ft, 6.9138
2023-09-03T12:20:16-0700, -23 ft, 6.9054
2023-09-03T12:20:16-0700, -26 ft, 6.9033
2023-09-03T12:20:16-0700, -30 ft, 6.9023
