Date and Time, Depth (Ft), Oxygen Conc. (mg/L)
2023-09-01T12:20:05-0700, -33 ft, 4.4644
2023-09-01T12:20:05-0700, -36 ft, 4.3929
2023-09-01T12:20:05-0700, -39 ft, 4.2703
2023-09-01T12:20:05-0700, -43 ft, 4.1479
2023-09-01T12:20:05-0700, -46 ft, 4.0547
2023-09-01T12:20:05-0700, -49 ft, 3.9811
2023-09-01T12:20:05-0700, -52 ft, 3.873
2023-09-01T12:20:05-0700, -56 ft, 3.7795
2023-09-01T12:20:05-0700, -59 ft, 3.7135
2023-09-01T12:20:05-0700, -62 ft, 3.6073
2023-09-01T12:20:05-0700, -3 ft, 4.5799
2023-09-01T12:20:05-0700, -7 ft, 4.7655
2023-09-01T12:20:05-0700, -10 ft, 4.9512
2023-09-01T12:20:05-0700, -13 ft, 5.1369
2023-09-01T12:20:05-0700, -16 ft, 5.107
2023-09-01T12:20:05-0700, -20 ft, 4.8662
2023-09-01T12:20:05-0700, -23 ft, 4.6631
2023-09-01T12:20:05-0700, -26 ft, 4.5538
2023-09-01T12:20:05-0700, -30 ft, 4.5035
2023-09-02T00:20:46-0700, -33 ft, 4.4196
2023-09-02T00:20:46-0700, -36 ft, 4.2953
2023-09-02T00:20:46-0700, -39 ft, 4.199
2023-09-02T00:20:46-0700, -43 ft, 4.1443
2023-09-02T00:20:46-0700, -46 ft, 4.1116
2023-09-02T00:20:46-0700, -49 ft, 4.0126
2023-09-02T00:20:46-0700, -52 ft, 3.867
2023-09-02T00:20:46-0700, -56 ft, 3.7572
2023-09-02T00:20:46-0700, -59 ft, 3.6847
2023-09-02T00:20:46-0700, -62 ft, 3.5895
2023-09-02T00:20:46-0700, -3 ft, 5.6266
2023-09-02T00:20:46-0700, -7 ft, 5.6427
2023-09-02T00:20:46-0700, -10 ft, 5.6589
2023-09-02T00:20:46-0700, -13 ft, 5.675
2023-09-02T00:20:46-0700, -16 ft, 5.5527
2023-09-02T00:20:46-0700, -20 ft, 5.2402
2023-09-02T00:20:46-0700, -23 ft, 4.9119
2023-09-02T00:20:46-0700, -26 ft, 4.69
2023-09-02T00:20:46-0700, -30 ft, 4.5473
2023-09-02T12:20:03-0700, -33 ft, 4.3906
2023-09-02T12:20:03-0700, -36 ft, 4.3082
2023-09-02T12:20:03-0700, -39 ft, 4.2653
2023-09-02T12:20:03-0700, -43 ft, 4.2166
2023-09-02T12:20:03-0700, -46 ft, 4.0893
2023-09-02T12:20:03-0700, -49 ft, 3.9705
2023-09-02T12:20:03-0700, -52 ft, 3.9107
2023-09-02T12:20:03-0700, -56 ft, 3.8827
2023-09-02T12:20:03-0700, -59 ft, 3.8525
2023-09-02T12:20:03-0700, -62 ft, 3.7991
2023-09-02T12:20:03-0700, -3 ft, 4.6445
2023-09-02T12:20:03-0700, -66 ft, 3.7083
2023-09-02T12:20:03-0700, -69 ft, 3.5637
2023-09-02T12:20:03-0700, -72 ft, 3.4392
2023-09-02T12:20:03-0700, -75 ft, 3.3241
2023-09-02T12:20:03-0700, -79 ft, 3.1847
2023-09-02T12:20:03-0700, -82 ft, 3.067
2023-09-02T12:20:03-0700, -85 ft, 2.9763
2023-09-02T12:20:03-0700, -89 ft, 2.911
2023-09-02T12:20:03-0700, -92 ft, 2.8735
2023-09-02T12:20:03-0700, -7 ft, 4.9234
2023-09-02T12:20:03-0700, -10 ft, 5.2023
2023-09-02T12:20:03-0700, -13 ft, 5.4812
2023-09-02T12:20:03-0700, -16 ft, 5.508
2023-09-02T12:20:03-0700, -20 ft, 5.2302
2023-09-02T12:20:03-0700, -23 ft, 4.8947
2023-09-02T12:20:03-0700, -26 ft, 4.647
2023-09-02T12:20:03-0700, -30 ft, 4.4976
2023-09-03T00:20:44-0700, -33 ft, 4.4896
2023-09-03T00:20:44-0700, -36 ft, 4.3861
2023-09-03T00:20:44-0700, -39 ft, 4.3282
2023-09-03T00:20:44-0700, -43 ft, 4.263
2023-09-03T00:20:44-0700, -46 ft, 4.1244
2023-09-03T00:20:44-0700, -49 ft, 3.9963
2023-09-03T00:20:44-0700, -52 ft, 3.9093
2023-09-03T00:20:44-0700, -56 ft, 3.8111
2023-09-03T00:20:44-0700, -59 ft, 3.7095
2023-09-03T00:20:44-0700, -62 ft, 3.6217
2023-09-03T00:20:44-0700, -3 ft, 5.3886
2023-09-03T00:20:44-0700, -7 ft, 5.4437
2023-09-03T00:20:44-0700, -10 ft, 5.4989
