Date and Time, Depth (Ft), Oxygen Conc. (mg/L)
2023-10-12T11:02:32-0700, -33 ft, 1.6099
2023-10-12T11:02:32-0700, -36 ft, 1.6052
2023-10-12T11:02:32-0700, -39 ft, 1.6268
2023-10-12T11:02:32-0700, -43 ft, 1.6895
2023-10-12T11:02:32-0700, -46 ft, 1.7868
2023-10-12T11:02:32-0700, -49 ft, 1.849
2023-10-12T11:02:32-0700, -52 ft, 1.8748
2023-10-12T11:02:32-0700, -56 ft, 1.9108
2023-10-12T11:02:32-0700, -59 ft, 1.9806
2023-10-12T11:02:32-0700, -62 ft, 2.0527
2023-10-12T11:02:32-0700, -3 ft, 8.721
2023-10-12T11:02:32-0700, -66 ft, 2.094
2023-10-12T11:02:32-0700, -69 ft, 2.1233
2023-10-12T11:02:32-0700, -72 ft, 2.1633
2023-10-12T11:02:32-0700, -75 ft, 2.1981
2023-10-12T11:02:32-0700, -79 ft, 2.2269
2023-10-12T11:02:32-0700, -82 ft, 2.2465
2023-10-12T11:02:32-0700, -85 ft, 2.257
2023-10-12T11:02:32-0700, -89 ft, 2.2623
2023-10-12T11:02:32-0700, -92 ft, 2.2631
2023-10-12T11:02:32-0700, -7 ft, 8.6436
2023-10-12T11:02:32-0700, -10 ft, 8.3372
2023-10-12T11:02:32-0700, -13 ft, 7.6904
2023-10-12T11:02:32-0700, -16 ft, 6.0219
2023-10-12T11:02:32-0700, -20 ft, 3.9302
2023-10-12T11:02:32-0700, -23 ft, 2.5942
2023-10-12T11:02:32-0700, -26 ft, 1.9303
2023-10-12T11:02:32-0700, -30 ft, 1.6797
2023-10-13T12:08:54-0700, -33 ft, 1.5801
2023-10-13T12:08:54-0700, -36 ft, 1.5782
2023-10-13T12:08:54-0700, -39 ft, 1.5758
2023-10-13T12:08:54-0700, -43 ft, 1.6588
2023-10-13T12:08:54-0700, -46 ft, 1.7945
2023-10-13T12:08:54-0700, -49 ft, 1.8871
2023-10-13T12:08:54-0700, -52 ft, 1.9395
2023-10-13T12:08:54-0700, -56 ft, 1.9844
2023-10-13T12:08:54-0700, -59 ft, 2.0427
2023-10-13T12:08:54-0700, -62 ft, 2.1003
2023-10-13T12:08:54-0700, -3 ft, 8.7997
2023-10-13T12:08:54-0700, -66 ft, 2.1511
2023-10-13T12:08:54-0700, -69 ft, 2.183
2023-10-13T12:08:54-0700, -72 ft, 2.2018
2023-10-13T12:08:54-0700, -75 ft, 2.2201
2023-10-13T12:08:54-0700, -79 ft, 2.2379
2023-10-13T12:08:54-0700, -82 ft, 2.2665
2023-10-13T12:08:54-0700, -85 ft, 2.2899
2023-10-13T12:08:54-0700, -89 ft, 2.3054
2023-10-13T12:08:54-0700, -92 ft, 2.3091
2023-10-13T12:08:54-0700, -7 ft, 8.3185
2023-10-13T12:08:54-0700, -10 ft, 7.6294
2023-10-13T12:08:54-0700, -13 ft, 6.0253
2023-10-13T12:08:54-0700, -16 ft, 4.0149
2023-10-13T12:08:54-0700, -20 ft, 2.7017
2023-10-13T12:08:54-0700, -23 ft, 1.9596
2023-10-13T12:08:54-0700, -26 ft, 1.62
2023-10-13T12:08:54-0700, -30 ft, 1.5536
2023-10-14T12:12:37-0700, -33 ft, 1.8625
2023-10-14T12:12:37-0700, -36 ft, 1.8101
2023-10-14T12:12:37-0700, -39 ft, 1.8234
2023-10-14T12:12:37-0700, -43 ft, 1.8871
2023-10-14T12:12:37-0700, -46 ft, 1.9469
2023-10-14T12:12:37-0700, -49 ft, 1.98
2023-10-14T12:12:37-0700, -52 ft, 1.9949
2023-10-14T12:12:37-0700, -56 ft, 2.0081
2023-10-14T12:12:37-0700, -59 ft, 2.0282
2023-10-14T12:12:37-0700, -62 ft, 2.0702
2023-10-14T12:12:37-0700, -3 ft, 8.9166
2023-10-14T12:12:37-0700, -66 ft, 2.1399
